trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.2, 'e': 0.038388398017552054}",30,15,24.365258180156957,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.0376282568071762}",30,7,32.83848812128028,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.036883167401239994}",20,0,31.39534689259087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.2, 'e': 0.03615283175404641}",30,20,15.996279314089783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.03543695772159864}",30,11,18.75365998379589,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.03473525894473856}",20,10,12.058285594095874,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.034047454734599344}",20,10,20.65118974164401,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.03337326996032608}",20,0,26.385346485804977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.2, 'e': 0.03271243493901982}",20,0,23.09860130136898,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.2, 'e': 0.03206468532786077}",25,15,14.749137287956259,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.03142976201836771}",25,9,28.26909261886891,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.030807411032751076}",20,0,6.188092631759041,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
176,False,"{'a': 0.2, 'e': 0.0301973834223185}",25,17,14.711989534748199,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.029599435167892}",20,16,8.07994360629472,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.029013327082197053}",20,0,24.628059548553267,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.2, 'e': 0.028438824714184505}",20,9,19.725568578615636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.027875698255247015}",20,0,29.467367390706254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.2, 'e': 0.02732372244729256}",20,12,14.138401075382593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.026782676492638175}",30,0,40.719664125672594,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.2, 'e': 0.02625234396568796}",35,27,13.915800121017112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.2, 'e': 0.02573251272635994}",20,10,16.984825031546045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.2, 'e': 0.025222974835227212}",20,7,22.39081266444605,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.2, 'e': 0.024723526470339388}",20,5,1.0703454072491867,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
187,False,"{'a': 0.2, 'e': 0.024233967845691113}",20,0,-18.12958977668251,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
188,False,"{'a': 0.2, 'e': 0.023754103131304997}",25,7,7.681122471754504,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
